"","x"
"112","Mcavernosa03875"
"113","Mcavernosa03923"
"114","Mcavernosa03922"
"115","Mcavernosa03941"
"116","Mcavernosa04020"
"117","Mcavernosa04070"
"118","Mcavernosa04145"
"119","Mcavernosa04150"
"120","Mcavernosa04222"
"121","Mcavernosa07262"
"122","Mcavernosa07274"
"123","Mcavernosa07301"
"124","Mcavernosa07317"
"125","Mcavernosa07325"
"126","Mcavernosa07334"
"127","Mcavernosa07345"
"128","Mcavernosa07349"
"129","Mcavernosa07362"
"130","Mcavernosa07364"
"131","Mcavernosa07368"
"132","Mcavernosa07479"
"133","Mcavernosa07482"
"134","Mcavernosa07498"
"135","Mcavernosa07502"
"136","Mcavernosa07509"
"137","Mcavernosa07650"
"138","Mcavernosa07685"
"139","Mcavernosa07786"
"140","Mcavernosa07810"
"141","Mcavernosa07823"
"142","Mcavernosa07841"
"143","Mcavernosa07881"
"144","Mcavernosa08049"
"145","Mcavernosa08100"
"146","Mcavernosa08172"
"147","Mcavernosa08178"
"148","Mcavernosa08260"
"149","Mcavernosa08261"
"150","Mcavernosa08283"
"151","Mcavernosa24360"
"152","Mcavernosa24379"
"153","Mcavernosa24405"
"154","Mcavernosa24430"
"155","Mcavernosa24451"
"156","Mcavernosa24512"
"157","Mcavernosa24552"
"158","Mcavernosa24570"
"159","Mcavernosa24577"
"160","Mcavernosa24596"
"161","Mcavernosa24619"
"162","Mcavernosa24621"
"163","Mcavernosa24728"
"164","Mcavernosa24780"
"165","Mcavernosa24787"
"166","Mcavernosa24788"
"167","Mcavernosa24789"
"168","Mcavernosa24796"
"169","Mcavernosa24806"
"170","Mcavernosa24881"
"171","Mcavernosa24994"
"172","Mcavernosa25033"
"173","Mcavernosa25055"
"174","Mcavernosa25137"
"175","Mcavernosa25165"
"176","Mcavernosa25169"
"177","Mcavernosa25195"
"178","Mcavernosa25262"
"179","Mcavernosa25264"
"180","Mcavernosa25265"
"181","Mcavernosa25289"
"182","Mcavernosa25315"
"183","Mcavernosa25338"
"184","Mcavernosa25351"
"185","Mcavernosa25362"
"186","Mcavernosa16401"
"187","Mcavernosa16404"
"188","Mcavernosa16418"
"189","Mcavernosa16442"
"190","Mcavernosa16443"
"191","Mcavernosa16448"
"192","Mcavernosa16481"
"193","Mcavernosa16494"
"194","Mcavernosa16500"
"195","Mcavernosa16505"
"196","Mcavernosa16520"
"197","Mcavernosa16518"
"198","Mcavernosa16522"
"199","Mcavernosa16526"
"200","Mcavernosa16539"
"201","Mcavernosa16542"
"202","Mcavernosa16552"
"203","Mcavernosa16554"
"204","Mcavernosa16687"
"205","Mcavernosa16688"
"206","Mcavernosa16689"
"207","Mcavernosa16752"
"208","Mcavernosa17050"
"209","Mcavernosa17123"
"210","Mcavernosa17222"
"211","Mcavernosa17249"
"212","Mcavernosa17261"
"213","Mcavernosa17260"
"214","Mcavernosa17264"
"215","Mcavernosa17282"
"216","Mcavernosa17341"
"217","Mcavernosa02180"
"218","Mcavernosa02245"
"219","Mcavernosa02360"
"220","Mcavernosa02436"
"221","Mcavernosa02471"
"222","Mcavernosa02474"
"223","Mcavernosa02475"
"224","Mcavernosa02504"
